match_id,queue_id,game_duration_sec,game_creation,summoner_name,puuid,team_id,win,champion_name,role,lane,kills,deaths,assists,total_minions_killed,neutral_minions_killed,gold_earned,damage_to_champions,vision_score,kda,cs,game_minutes,cs_per_min,team_kills,team_gold,team_damage_to_champions,team_vision_score,kill_participation,damage_share,gold_share,vision_per_min,z_damage_share,z_kill_participation,z_cs_per_min,z_vision_per_min,impact_score,impact_rank_on_team,p_win_10min,bucket
NA1_5447833843,420,1811,1766784434238,,eodARsxRW0IKSrcQ1iLWQ1FeVMZ9xbFlSfoGupTEr_3oOb8niLV2Cf5qbo_o7rzzFCnI7iXhumNwTA,200,True,Ekko,MIDDLE,MIDDLE,5,3,11,165,0,12470,23408,23,5.333333333333333,165,30.183333333333337,5.466593042517946,47,66312,164575,152,0.3404255319148936,0.1422330244569345,0.1880504282784413,0.7620099392600772,-0.9804262751924272,-0.4667565149676475,-0.2363912476008225,0.5935783351108597,-0.4829161291967633,5.0,0.3540667892438293,NORMAL
NA1_5444176075,400,157,1766383827831,,eodARsxRW0IKSrcQ1iLWQ1FeVMZ9xbFlSfoGupTEr_3oOb8niLV2Cf5qbo_o7rzzFCnI7iXhumNwTA,200,False,Khazix,JUNGLE,NONE,0,0,0,0,8,788,468,1,0.0,8,2.6166666666666667,3.057324840764331,0,3586,1780,1,0.0,0.2629213483146067,0.2197434467373117,0.3821656050955413,1.3323662417687774,-2.474291889334804,-1.992404993876253,-1.0725067375447592,-0.8813113044049082,3.0,0.4690338018514641,NORMAL
NA1_5444627641,420,142,1766446711418,,eodARsxRW0IKSrcQ1iLWQ1FeVMZ9xbFlSfoGupTEr_3oOb8niLV2Cf5qbo_o7rzzFCnI7iXhumNwTA,200,True,Lux,MIDDLE,NONE,0,0,0,7,0,712,337,1,0.0,7,2.3666666666666667,2.9577464788732395,0,3440,712,1,0.0,0.473314606741573,0.2069767441860465,0.4225352112676056,2.8228712919388492,-2.4681579748048157,-2.18064980371983,-0.8010026701887736,-0.3777051582116823,1.0,0.5309030560281005,NORMAL
NA1_5447485694,420,3029,1766731974850,,eodARsxRW0IKSrcQ1iLWQ1FeVMZ9xbFlSfoGupTEr_3oOb8niLV2Cf5qbo_o7rzzFCnI7iXhumNwTA,100,True,Ekko,MIDDLE,MIDDLE,7,8,9,322,4,19922,44065,34,2.0,326,50.483333333333334,6.457576758005942,60,101675,224141,232,0.2666666666666666,0.1965950004684551,0.1959380378657487,0.6734896005282272,-0.3559434221072522,-0.9003934979323676,0.5315826076887178,0.229931875451968,-0.2388094076498723,5.0,0.4612621038808343,NORMAL
NA1_5451221917,420,2008,1767120060112,,eodARsxRW0IKSrcQ1iLWQ1FeVMZ9xbFlSfoGupTEr_3oOb8niLV2Cf5qbo_o7rzzFCnI7iXhumNwTA,100,False,Ekko,MIDDLE,MIDDLE,2,5,3,212,0,12487,22475,18,1.0,212,33.46666666666667,6.334661354581673,20,59667,93886,139,0.25,0.2393860639498966,0.2092781604572041,0.5378486055776892,0.1356186470084164,-0.9983787777368952,0.4363279483367009,-0.3272888526316808,-0.1756940050471157,3.0,0.3525589039172502,NORMAL
NA1_5445262210,420,1693,1766512339916,,eodARsxRW0IKSrcQ1iLWQ1FeVMZ9xbFlSfoGupTEr_3oOb8niLV2Cf5qbo_o7rzzFCnI7iXhumNwTA,100,False,Galio,MIDDLE,MIDDLE,2,4,13,149,4,8676,14293,25,3.75,153,28.216666666666665,5.42232722976964,24,49434,96163,105,0.625,0.1486330501336273,0.1755067362543998,0.8860011813349085,-0.9069060210068084,1.2062900178649854,-0.2706955316597197,1.1029412324423602,0.0870901383364187,3.0,0.4345065271903988,NORMAL
NA1_5443539939,420,2029,1766338524781,,eodARsxRW0IKSrcQ1iLWQ1FeVMZ9xbFlSfoGupTEr_3oOb8niLV2Cf5qbo_o7rzzFCnI7iXhumNwTA,200,False,Sylas,MIDDLE,MIDDLE,9,9,7,156,0,13080,25034,17,1.7777777777777777,156,33.81666666666667,4.613109906357812,34,63988,115254,124,0.4705882352941176,0.2172072118972009,0.204413327498906,0.5027106949236076,-0.1191607746425951,0.2984852196759753,-0.8978074992076793,-0.4716373378749902,-0.2237763138115345,3.0,0.201480357261906,NORMAL
NA1_5443720069,420,1472,1766355356657,,eodARsxRW0IKSrcQ1iLWQ1FeVMZ9xbFlSfoGupTEr_3oOb8niLV2Cf5qbo_o7rzzFCnI7iXhumNwTA,200,True,Ekko,JUNGLE,JUNGLE,10,1,6,38,128,10962,11598,27,16.0,166,24.533333333333335,6.766304347826087,25,46454,60123,94,0.64,0.1929045456813532,0.2359753734877513,1.1005434782608694,0.3098444832555934,0.8704901787111294,0.7668979734289874,1.599458055525702,0.7212629216626136,1.0,0.5060389926594263,NORMAL
NA1_5445848194,420,102,1766557083710,,eodARsxRW0IKSrcQ1iLWQ1FeVMZ9xbFlSfoGupTEr_3oOb8niLV2Cf5qbo_o7rzzFCnI7iXhumNwTA,200,True,Ekko,MIDDLE,NONE,0,0,0,0,0,506,0,0,0.0,0,1.7,0.0,0,2531,40,0,0.0,0.0,0.1999209798498617,0.0,-2.6143272374564988,-2.4681579748048157,-4.4727883432828035,-2.536800746200895,-3.027339085992009,5.0,0.5418577765668385,NORMAL
NA1_5442700198,420,350,1766254783434,,eodARsxRW0IKSrcQ1iLWQ1FeVMZ9xbFlSfoGupTEr_3oOb8niLV2Cf5qbo_o7rzzFCnI7iXhumNwTA,200,False,Sylas,MIDDLE,NONE,2,0,0,29,0,2082,2619,1,2.0,29,5.833333333333333,4.9714285714285715,2,8652,6225,5,1.0,0.4207228915662651,0.2406380027739251,0.1714285714285714,2.2187242989311073,3.4109588134668662,-0.6201244633153238,-1.8325626696474056,1.4615537658723758,1.0,0.5229222112455902,NORMAL
